date,asset,close,volume
2023-04-24,AAPL,162.9690704345703,41949600
2023-04-25,AAPL,161.43133544921875,48714100
2023-04-26,AAPL,161.42147827148438,45498800
2023-04-27,AAPL,166.00506591796875,64902300
2023-04-28,AAPL,167.25692749023438,55275900
2023-05-01,AAPL,167.16819763183594,52472900
2023-05-02,AAPL,166.1331787109375,48425700
2023-05-03,AAPL,165.05877685546875,65136000
2023-05-04,AAPL,163.4224853515625,81235400
2023-05-05,AAPL,171.09140014648438,113453200
2023-05-08,AAPL,171.0223846435547,55962800
2023-05-09,AAPL,169.3170928955078,45326900
2023-05-10,AAPL,171.08154296875,53724500
2023-05-11,AAPL,171.26878356933594,49514700
2023-05-12,AAPL,170.3409423828125,45533100
2023-05-15,AAPL,169.84739685058594,37266700
2023-05-16,AAPL,169.84739685058594,42110300
2023-05-17,AAPL,170.45944213867188,57951600
2023-05-18,AAPL,172.78890991210938,65496700
2023-05-19,AAPL,172.89749145507812,55809500
2023-05-22,AAPL,171.9498748779297,43570900
2023-05-23,AAPL,169.343994140625,50747300
2023-05-24,AAPL,169.62039184570312,45143500
2023-05-25,AAPL,170.7555389404297,56058300
2023-05-26,AAPL,173.1639862060547,54835000
2023-05-30,AAPL,175.00985717773438,55964400
2023-05-31,AAPL,174.96051025390625,99625300
2023-06-01,AAPL,177.76377868652344,68901800
2023-06-02,AAPL,178.61270141601562,61996900
2023-06-05,AAPL,177.26039123535156,121946500
2023-06-06,AAPL,176.8951873779297,64848400
2023-06-07,AAPL,175.52313232421875,61944600
2023-06-08,AAPL,178.2376251220703,50214900
2023-06-09,AAPL,178.62258911132812,48900000
2023-06-12,AAPL,181.416015625,54274900
2023-06-13,AAPL,180.94219970703125,54929100
2023-06-14,AAPL,181.57395935058594,57462900
2023-06-15,AAPL,183.6073455810547,65433200
2023-06-16,AAPL,182.53140258789062,101256200
2023-06-20,AAPL,182.62022399902344,49799100
2023-06-21,AAPL,181.58384704589844,49515700
2023-06-22,AAPL,184.58457946777344,51245300
2023-06-23,AAPL,184.26869201660156,53117000
2023-06-26,AAPL,182.87689208984375,48088700
2023-06-27,AAPL,185.630859375,50730800
2023-06-28,AAPL,186.8054962158203,51216800
2023-06-29,AAPL,187.14109802246094,46347300
2023-06-30,AAPL,191.46450805664062,85213200
2023-07-03,AAPL,189.9740447998047,31458200
2023-07-05,AAPL,188.85862731933594,46920300
2023-07-06,AAPL,189.33242797851562,45094300
2023-07-07,AAPL,188.21702575683594,46815000
2023-07-10,AAPL,186.1737518310547,59922200
2023-07-11,AAPL,185.65060424804688,46638100
2023-07-12,AAPL,187.31878662109375,60750200
2023-07-13,AAPL,188.07882690429688,41342300
2023-07-14,AAPL,188.22689819335938,41616200
2023-07-17,AAPL,191.4842987060547,50520200
2023-07-18,AAPL,191.2276153564453,48288200
2023-07-19,AAPL,192.57992553710938,80507300
2023-07-20,AAPL,190.63539123535156,59581200
2023-07-21,AAPL,189.4607391357422,71951700
2023-07-24,AAPL,190.26028442382812,45377800
