date,factor,rolling_ic,rolling_icir,rolling_rank_ic,rolling_rank_icir
2023-04-27,mom_3,,,,
2023-04-27,rev_3,,,,
2023-04-27,mom_5,,,,
2023-04-27,rev_5,,,,
2023-04-27,mom_10,,,,
2023-04-27,rev_10,,,,
2023-04-27,mom_20,,,,
2023-04-27,rev_20,,,,
2023-04-27,mom_40,,,,
2023-04-27,rev_40,,,,
2023-04-27,mom_60,,,,
2023-04-27,rev_60,,,,
2023-04-27,vol_10,,,,
2023-04-27,vol_20,,,,
2023-04-27,vol_40,,,,
2023-04-27,vol_60,,,,
2023-04-27,volume_mom_5,,,,
2023-04-27,volume_to_ma5,,,,
2023-04-27,price_volume_corr_5,,,,
2023-04-27,price_volume_cov_5,,,,
2023-04-27,volume_mom_10,,,,
2023-04-27,volume_to_ma10,,,,
2023-04-27,price_volume_corr_10,,,,
2023-04-27,price_volume_cov_10,,,,
2023-04-27,volume_mom_20,,,,
2023-04-27,volume_to_ma20,,,,
2023-04-27,price_volume_corr_20,,,,
2023-04-27,price_volume_cov_20,,,,
2023-04-27,volume_mom_40,,,,
2023-04-27,volume_to_ma40,,,,
2023-04-27,price_volume_corr_40,,,,
2023-04-27,price_volume_cov_40,,,,
2023-04-27,price_volume_trend_20,,,,
2023-04-27,price_volume_trend_40,,,,
2023-04-28,mom_3,,,,
2023-04-28,rev_3,,,,
2023-04-28,mom_5,,,,
2023-04-28,rev_5,,,,
2023-04-28,mom_10,,,,
2023-04-28,rev_10,,,,
2023-04-28,mom_20,,,,
2023-04-28,rev_20,,,,
2023-04-28,mom_40,,,,
2023-04-28,rev_40,,,,
2023-04-28,mom_60,,,,
2023-04-28,rev_60,,,,
2023-04-28,vol_10,,,,
2023-04-28,vol_20,,,,
2023-04-28,vol_40,,,,
2023-04-28,vol_60,,,,
2023-04-28,volume_mom_5,,,,
2023-04-28,volume_to_ma5,,,,
2023-04-28,price_volume_corr_5,,,,
2023-04-28,price_volume_cov_5,,,,
2023-04-28,volume_mom_10,,,,
2023-04-28,volume_to_ma10,,,,
2023-04-28,price_volume_corr_10,,,,
2023-04-28,price_volume_cov_10,,,,
2023-04-28,volume_mom_20,,,,
2023-04-28,volume_to_ma20,,,,
2023-04-28,price_volume_corr_20,,,,
2023-04-28,price_volume_cov_20,,,,
2023-04-28,volume_mom_40,,,,
2023-04-28,volume_to_ma40,,,,
2023-04-28,price_volume_corr_40,,,,
2023-04-28,price_volume_cov_40,,,,
2023-04-28,price_volume_trend_20,,,,
2023-04-28,price_volume_trend_40,,,,
2023-05-01,mom_3,,,,
2023-05-01,rev_3,,,,
2023-05-01,mom_5,,,,
2023-05-01,rev_5,,,,
2023-05-01,mom_10,,,,
2023-05-01,rev_10,,,,
2023-05-01,mom_20,,,,
2023-05-01,rev_20,,,,
2023-05-01,mom_40,,,,
2023-05-01,rev_40,,,,
2023-05-01,mom_60,,,,
2023-05-01,rev_60,,,,
2023-05-01,vol_10,,,,
2023-05-01,vol_20,,,,
2023-05-01,vol_40,,,,
2023-05-01,vol_60,,,,
2023-05-01,volume_mom_5,,,,
2023-05-01,volume_to_ma5,,,,
2023-05-01,price_volume_corr_5,,,,
2023-05-01,price_volume_cov_5,,,,
2023-05-01,volume_mom_10,,,,
2023-05-01,volume_to_ma10,,,,
2023-05-01,price_volume_corr_10,,,,
2023-05-01,price_volume_cov_10,,,,
2023-05-01,volume_mom_20,,,,
2023-05-01,volume_to_ma20,,,,
2023-05-01,price_volume_corr_20,,,,
2023-05-01,price_volume_cov_20,,,,
2023-05-01,volume_mom_40,,,,
2023-05-01,volume_to_ma40,,,,
2023-05-01,price_volume_corr_40,,,,
2023-05-01,price_volume_cov_40,,,,
2023-05-01,price_volume_trend_20,,,,
2023-05-01,price_volume_trend_40,,,,
2023-05-02,mom_3,,,,
2023-05-02,rev_3,,,,
2023-05-02,mom_5,,,,
2023-05-02,rev_5,,,,
2023-05-02,mom_10,,,,
2023-05-02,rev_10,,,,
2023-05-02,mom_20,,,,
2023-05-02,rev_20,,,,
2023-05-02,mom_40,,,,
2023-05-02,rev_40,,,,
2023-05-02,mom_60,,,,
2023-05-02,rev_60,,,,
2023-05-02,vol_10,,,,
2023-05-02,vol_20,,,,
2023-05-02,vol_40,,,,
2023-05-02,vol_60,,,,
2023-05-02,volume_mom_5,,,,
2023-05-02,volume_to_ma5,,,,
2023-05-02,price_volume_corr_5,,,,
2023-05-02,price_volume_cov_5,,,,
2023-05-02,volume_mom_10,,,,
2023-05-02,volume_to_ma10,,,,
2023-05-02,price_volume_corr_10,,,,
2023-05-02,price_volume_cov_10,,,,
2023-05-02,volume_mom_20,,,,
2023-05-02,volume_to_ma20,,,,
2023-05-02,price_volume_corr_20,,,,
2023-05-02,price_volume_cov_20,,,,
2023-05-02,volume_mom_40,,,,
2023-05-02,volume_to_ma40,,,,
2023-05-02,price_volume_corr_40,,,,
2023-05-02,price_volume_cov_40,,,,
2023-05-02,price_volume_trend_20,,,,
2023-05-02,price_volume_trend_40,,,,
2023-05-03,mom_3,,,,
2023-05-03,rev_3,,,,
2023-05-03,mom_5,,,,
2023-05-03,rev_5,,,,
2023-05-03,mom_10,,,,
2023-05-03,rev_10,,,,
2023-05-03,mom_20,,,,
2023-05-03,rev_20,,,,
2023-05-03,mom_40,,,,
2023-05-03,rev_40,,,,
2023-05-03,mom_60,,,,
2023-05-03,rev_60,,,,
2023-05-03,vol_10,,,,
2023-05-03,vol_20,,,,
2023-05-03,vol_40,,,,
2023-05-03,vol_60,,,,
2023-05-03,volume_mom_5,,,,
2023-05-03,volume_to_ma5,,,,
2023-05-03,price_volume_corr_5,,,,
2023-05-03,price_volume_cov_5,,,,
2023-05-03,volume_mom_10,,,,
2023-05-03,volume_to_ma10,,,,
2023-05-03,price_volume_corr_10,,,,
2023-05-03,price_volume_cov_10,,,,
2023-05-03,volume_mom_20,,,,
2023-05-03,volume_to_ma20,,,,
2023-05-03,price_volume_corr_20,,,,
2023-05-03,price_volume_cov_20,,,,
2023-05-03,volume_mom_40,,,,
2023-05-03,volume_to_ma40,,,,
2023-05-03,price_volume_corr_40,,,,
2023-05-03,price_volume_cov_40,,,,
2023-05-03,price_volume_trend_20,,,,
2023-05-03,price_volume_trend_40,,,,
2023-05-04,mom_3,,,,
2023-05-04,rev_3,,,,
2023-05-04,mom_5,,,,
2023-05-04,rev_5,,,,
2023-05-04,mom_10,,,,
2023-05-04,rev_10,,,,
2023-05-04,mom_20,,,,
2023-05-04,rev_20,,,,
2023-05-04,mom_40,,,,
2023-05-04,rev_40,,,,
2023-05-04,mom_60,,,,
2023-05-04,rev_60,,,,
2023-05-04,vol_10,,,,
2023-05-04,vol_20,,,,
2023-05-04,vol_40,,,,
2023-05-04,vol_60,,,,
2023-05-04,volume_mom_5,,,,
2023-05-04,volume_to_ma5,,,,
2023-05-04,price_volume_corr_5,,,,
2023-05-04,price_volume_cov_5,,,,
2023-05-04,volume_mom_10,,,,
2023-05-04,volume_to_ma10,,,,
2023-05-04,price_volume_corr_10,,,,
2023-05-04,price_volume_cov_10,,,,
2023-05-04,volume_mom_20,,,,
2023-05-04,volume_to_ma20,,,,
2023-05-04,price_volume_corr_20,,,,
2023-05-04,price_volume_cov_20,,,,
2023-05-04,volume_mom_40,,,,
2023-05-04,volume_to_ma40,,,,
2023-05-04,price_volume_corr_40,,,,
2023-05-04,price_volume_cov_40,,,,
2023-05-04,price_volume_trend_20,,,,
2023-05-04,price_volume_trend_40,,,,
2023-05-05,mom_3,,,,
2023-05-05,rev_3,,,,
2023-05-05,mom_5,,,,
2023-05-05,rev_5,,,,
2023-05-05,mom_10,,,,
2023-05-05,rev_10,,,,
2023-05-05,mom_20,,,,
2023-05-05,rev_20,,,,
2023-05-05,mom_40,,,,
2023-05-05,rev_40,,,,
2023-05-05,mom_60,,,,
2023-05-05,rev_60,,,,
2023-05-05,vol_10,,,,
2023-05-05,vol_20,,,,
2023-05-05,vol_40,,,,
2023-05-05,vol_60,,,,
2023-05-05,volume_mom_5,,,,
2023-05-05,volume_to_ma5,,,,
2023-05-05,price_volume_corr_5,,,,
2023-05-05,price_volume_cov_5,,,,
2023-05-05,volume_mom_10,,,,
2023-05-05,volume_to_ma10,,,,
2023-05-05,price_volume_corr_10,,,,
2023-05-05,price_volume_cov_10,,,,
2023-05-05,volume_mom_20,,,,
2023-05-05,volume_to_ma20,,,,
2023-05-05,price_volume_corr_20,,,,
2023-05-05,price_volume_cov_20,,,,
2023-05-05,volume_mom_40,,,,
2023-05-05,volume_to_ma40,,,,
2023-05-05,price_volume_corr_40,,,,
2023-05-05,price_volume_cov_40,,,,
2023-05-05,price_volume_trend_20,,,,
2023-05-05,price_volume_trend_40,,,,
2023-05-08,mom_3,,,,
2023-05-08,rev_3,,,,
2023-05-08,mom_5,,,,
2023-05-08,rev_5,,,,
2023-05-08,mom_10,,,,
2023-05-08,rev_10,,,,
2023-05-08,mom_20,,,,
2023-05-08,rev_20,,,,
2023-05-08,mom_40,,,,
2023-05-08,rev_40,,,,
2023-05-08,mom_60,,,,
2023-05-08,rev_60,,,,
2023-05-08,vol_10,,,,
2023-05-08,vol_20,,,,
